TRANS_DATE,DATE,HOUR,SHIP_TO,VOLUME,TRANSACTION_AMT,TRANSACTION_COUNT
2/26/2025,20250226,8,888950,21.169,58.96,3
2/26/2025,20250226,9,888950,27.031,72.96,5
2/26/2025,20250226,10,888950,35.034,94.55,6
2/26/2025,20250226,11,888950,38.308,112.51,6
2/26/2025,20250226,12,888950,33.242,89.72,4
2/26/2025,20250226,13,888950,12.968,35,2
2/26/2025,20250226,14,888950,60.123,162.27,5
2/26/2025,20250226,15,888950,37.891,102.26,6
2/26/2025,20250226,16,888950,16.673,45,3
2/26/2025,20250226,17,888950,41.827,128.85,6
2/26/2025,20250226,18,888950,51.84,148.03,6
2/26/2025,20250226,19,888950,41.629,119.3,5
2/26/2025,20250226,20,888950,36.681,99,6
2/26/2025,20250226,21,888950,26.677,72,5
2/26/2025,20250226,22,888950,5.558,15,1
2/26/2025,20250226,23,888950,3.705,10,1
2/27/2025,20250227,4,888950,7.41,20,1
2/27/2025,20250227,5,888950,7.41,20,2
2/27/2025,20250227,6,888950,46.462,125.4,5
2/27/2025,20250227,7,888950,121.508,357.46,12
2/27/2025,20250227,8,888950,30.162,86.82,6
2/27/2025,20250227,9,888950,21.681,65.3,4
2/27/2025,20250227,10,888950,25.935,70,2
2/27/2025,20250227,11,888950,25.274,68.21,3
2/27/2025,20250227,12,888950,19.638,53,5
2/27/2025,20250227,13,888950,41.166,110.44,5
2/27/2025,20250227,14,888950,69.328,204.71,7
2/27/2025,20250227,15,888950,51.403,158.82,7
2/27/2025,20250227,16,888950,44.376,135.23,3
2/27/2025,20250227,17,888950,35.383,100.96,7
2/27/2025,20250227,18,888950,48.905,132,3
2/27/2025,20250227,19,888950,65.427,182.01,9
2/27/2025,20250227,20,888950,3.705,10,1
2/27/2025,20250227,21,888950,15.969,43.1,3
2/27/2025,20250227,22,888950,12.905,42.11,3
2/27/2025,20250227,23,888950,3.823,10.32,1
2/28/2025,20250228,2,888950,11.115,30,1
2/28/2025,20250228,3,888950,7.105,19.18,1
2/28/2025,20250228,4,888950,25.555,71.7,3
2/28/2025,20250228,5,888950,9.263,25,1
2/28/2025,20250228,6,888950,75.86,204.74,6
2/28/2025,20250228,7,888950,52.293,150.15,5
2/28/2025,20250228,8,888950,14.616,46,2
2/28/2025,20250228,9,888950,48.505,150.91,5
2/28/2025,20250228,10,888950,65.781,177.54,7
2/28/2025,20250228,11,888950,33.973,94.4,5
2/28/2025,20250228,12,888950,28.255,76.27,2
2/28/2025,20250228,13,888950,29.776,80.36,3
2/28/2025,20250228,14,888950,14.82,40,3
2/28/2025,20250228,15,888950,46.951,126.45,8
2/28/2025,20250228,16,888950,48.689,135.05,7
2/28/2025,20250228,17,888950,22.927,63.7,4
2/28/2025,20250228,18,888950,15.194,41.01,2
2/28/2025,20250228,19,888950,26.14,74.19,4
2/28/2025,20250228,20,888950,52.475,141.63,5
2/28/2025,20250228,21,888950,28.901,78,4
2/28/2025,20250228,22,888950,41.632,112.37,4
3/1/2025,20250301,0,888950,9.263,25,1
3/1/2025,20250301,1,888950,6.959,18.78,1
3/1/2025,20250301,3,888950,6.31,17.03,2
3/1/2025,20250301,4,888950,5.576,15.05,1
3/1/2025,20250301,5,888950,3.705,10,1
3/1/2025,20250301,6,888950,24.48,77.65,3
3/1/2025,20250301,7,888950,25.025,73,4
3/1/2025,20250301,8,888950,48.157,129.98,8
3/1/2025,20250301,9,888950,11.115,30,2
3/1/2025,20250301,10,888950,8.762,25,2
3/1/2025,20250301,11,888950,63.877,176.04,8
3/1/2025,20250301,12,888950,31.381,86.51,4
3/1/2025,20250301,13,888950,13.338,36,3
3/1/2025,20250301,14,888950,23.384,69.86,3
3/1/2025,20250301,15,888950,5.407,20,1
3/1/2025,20250301,16,888950,55.746,164,6
3/1/2025,20250301,17,888950,32.637,88.09,4
3/1/2025,20250301,18,888950,22.577,67.06,4
3/1/2025,20250301,19,888950,42.967,115.97,6
3/1/2025,20250301,20,888950,34.763,93.82,3
3/1/2025,20250301,21,888950,7.26,25,2
3/1/2025,20250301,23,888950,11.115,30,2
3/2/2025,20250302,0,888950,14.023,37.85,2
3/2/2025,20250302,4,888950,18.136,48.95,1
3/2/2025,20250302,5,888950,5.558,15,1
3/2/2025,20250302,6,888950,20.037,58.45,3
3/2/2025,20250302,7,888950,9.263,25,1
3/2/2025,20250302,8,888950,27.054,73.02,3
3/2/2025,20250302,9,888950,39.546,106.73,5
3/2/2025,20250302,10,888950,25.636,80,4
3/2/2025,20250302,11,888950,54.007,149.94,7
3/2/2025,20250302,12,888950,63.927,172.54,7
3/2/2025,20250302,13,888950,18.525,50,2
3/2/2025,20250302,14,888950,46.863,134.64,6
3/2/2025,20250302,16,888950,38.753,110,6
3/2/2025,20250302,17,888950,27.157,81.81,3
3/2/2025,20250302,18,888950,59.405,168.54,8
3/2/2025,20250302,19,888950,1.482,4,1
3/2/2025,20250302,20,888950,49.264,132.96,9
3/2/2025,20250302,21,888950,20.38,65.01,2
3/2/2025,20250302,22,888950,25.194,68,4
3/3/2025,20250303,0,888950,16.315,44.03,4
3/3/2025,20250303,1,888950,5.407,20,1
3/3/2025,20250303,5,888950,9.758,26.34,2
3/3/2025,20250303,6,888950,14.403,38.87,1
3/3/2025,20250303,7,888950,77.004,217.43,6
3/3/2025,20250303,8,888950,24.74,66.78,3
3/3/2025,20250303,9,888950,14.082,38.01,2
3/3/2025,20250303,10,888950,24.943,70.06,5
3/3/2025,20250303,11,888950,13.64,45,1
3/3/2025,20250303,12,888950,15.82,42.7,2
3/3/2025,20250303,13,888950,14.994,40.47,2
3/3/2025,20250303,14,888950,13.136,40,2
3/3/2025,20250303,15,888950,27.784,74.99,2
3/3/2025,20250303,16,888950,49.894,150.93,8
3/3/2025,20250303,17,888950,2.964,8,1
3/3/2025,20250303,18,888950,33.157,100.18,3
3/3/2025,20250303,19,888950,7.488,20.21,2
3/3/2025,20250303,20,888950,46.325,130.48,6
3/3/2025,20250303,21,888950,25.191,67.99,3
3/3/2025,20250303,22,888950,28.823,82.96,5
3/3/2025,20250303,23,888950,13.428,36.24,2
3/4/2025,20250304,2,888950,5.558,15,1
3/4/2025,20250304,5,888950,19.693,53.15,2
3/4/2025,20250304,6,888950,31.382,84.7,5
3/4/2025,20250304,7,888950,128.188,385.54,9
3/4/2025,20250304,8,888950,43.728,120.78,5
3/4/2025,20250304,9,888950,40.991,120.13,5
3/4/2025,20250304,10,888950,37.082,100.08,3
3/4/2025,20250304,11,888950,10.441,30,2
3/4/2025,20250304,12,888950,24.52,68,4
3/4/2025,20250304,13,888950,11.298,32.31,3
3/4/2025,20250304,14,888950,51.873,163.37,5
3/4/2025,20250304,15,888950,20.378,55,4
3/4/2025,20250304,16,888950,36.187,100.11,6
3/4/2025,20250304,17,888950,20.15,54.38,4
3/4/2025,20250304,18,888950,26.736,65.67,3
3/4/2025,20250304,19,888950,76.504,212.85,8
3/4/2025,20250304,20,888950,7.41,20,1
3/4/2025,20250304,21,888950,11.115,30,1
3/4/2025,20250304,23,888950,22.913,61.84,4
3/5/2025,20250305,0,888950,22.601,61,3
3/5/2025,20250305,1,888950,19.048,51.41,1
3/5/2025,20250305,2,888950,7.41,20,1
3/5/2025,20250305,3,888950,3.705,10,1
