TRANS_DATE,DATE,HOUR,SHIP_TO,VOLUME,TRANSACTION_AMT,TRANSACTION_COUNT
2/25/2025,20250225,7,899387,567.086,1648.58,42
2/25/2025,20250225,8,899387,641.289,1769.65,63
2/25/2025,20250225,9,899387,630.469,1697.87,60
2/25/2025,20250225,10,899387,601.462,1639.84,54
2/25/2025,20250225,11,899387,983.264,2732.62,78
2/25/2025,20250225,12,899387,1099.979,3025.77,96
2/25/2025,20250225,13,899387,768.031,2073.34,72
2/25/2025,20250225,14,899387,846.931,2336.88,78
2/25/2025,20250225,15,899387,887.102,2420.32,80
2/25/2025,20250225,16,899387,871.489,2340.02,85
2/25/2025,20250225,17,899387,989.271,2726.88,79
2/25/2025,20250225,18,899387,663.548,1787.36,63
2/25/2025,20250225,19,899387,677.378,1817.08,72
2/25/2025,20250225,20,899387,416.163,1137.79,45
2/25/2025,20250225,21,899387,344.271,931.92,36
2/25/2025,20250225,22,899387,271.955,731.15,32
2/25/2025,20250225,23,899387,190.563,526.25,22
2/26/2025,20250226,0,899387,115.696,327.97,14
2/26/2025,20250226,1,899387,105.157,299.73,9
2/26/2025,20250226,2,899387,68.074,182.89,8
2/26/2025,20250226,3,899387,93.319,249.42,13
2/26/2025,20250226,4,899387,126.98,328.42,13
2/26/2025,20250226,5,899387,415.589,1146.03,34
2/26/2025,20250226,6,899387,467.25,1255.03,44
2/26/2025,20250226,7,899387,789.311,2221.63,66
2/26/2025,20250226,8,899387,679.289,1823.92,66
2/26/2025,20250226,9,899387,575.017,1526.61,51
2/26/2025,20250226,10,899387,593.685,1541.97,61
2/26/2025,20250226,11,899387,1027.925,2739.78,83
2/26/2025,20250226,12,899387,886.971,2335.66,73
2/26/2025,20250226,13,899387,786.212,2045.48,75
2/26/2025,20250226,14,899387,812.812,2180.37,71
2/26/2025,20250226,15,899387,973.262,2544.81,88
2/26/2025,20250226,16,899387,1128.562,3002.4,95
2/26/2025,20250226,17,899387,1048.715,2728.3,100
2/26/2025,20250226,18,899387,997.405,2508.62,83
2/26/2025,20250226,19,899387,715.521,1861.52,69
2/26/2025,20250226,20,899387,630.03,1644.68,62
2/26/2025,20250226,21,899387,481.943,1267.4,54
2/26/2025,20250226,22,899387,435.975,1099.98,44
2/26/2025,20250226,23,899387,197.699,525.17,22
2/27/2025,20250227,0,899387,108.089,287.63,12
2/27/2025,20250227,1,899387,73.313,189.74,10
2/27/2025,20250227,2,899387,73.18,188.68,10
2/27/2025,20250227,3,899387,108.861,276.14,12
2/27/2025,20250227,4,899387,115.403,305.78,14
2/27/2025,20250227,5,899387,443.836,1177.04,35
2/27/2025,20250227,6,899387,632.401,1625.54,53
2/27/2025,20250227,7,899387,892.673,2377.58,70
2/27/2025,20250227,8,899387,983.467,2523.35,80
2/27/2025,20250227,9,899387,742.063,1987.3,61
2/27/2025,20250227,10,899387,596.286,1558.35,60
2/27/2025,20250227,11,899387,933.324,2422.39,79
2/27/2025,20250227,12,899387,933.191,2383.37,88
2/27/2025,20250227,13,899387,630.747,1642.72,57
2/27/2025,20250227,14,899387,989.346,2729.66,86
2/27/2025,20250227,15,899387,781.228,2058.9,75
2/27/2025,20250227,16,899387,865.799,2301.76,77
2/27/2025,20250227,17,899387,1113.204,2953.54,88
2/27/2025,20250227,18,899387,989.028,2624.99,93
2/27/2025,20250227,19,899387,875.35,2267.99,84
2/27/2025,20250227,20,899387,698.262,1831.08,70
2/27/2025,20250227,21,899387,528.892,1403.22,54
2/27/2025,20250227,22,899387,345.969,891.77,39
2/27/2025,20250227,23,899387,271.63,723.79,27
2/28/2025,20250228,0,899387,95.111,239.65,10
2/28/2025,20250228,1,899387,83.816,226.31,7
2/28/2025,20250228,2,899387,78.337,197.85,12
2/28/2025,20250228,3,899387,108.346,284.45,14
2/28/2025,20250228,4,899387,169.327,479.52,14
2/28/2025,20250228,5,899387,239.703,623.58,26
2/28/2025,20250228,6,899387,604.703,1609.71,47
